id,seek,start,end,text,temperature,avg_logprob,compression_ratio,no_speech_prob
0,0,0.0,8.2," Para impressionadores, nesse vídeo eu quero ensinar vocês a fazer em trânscrição de áudios, qualquer tamanho de áudio, qualquer áudio que você tenha.",0.0,-0.5424494743347168,1.6622222222222223,0.01184123009443283
1,0,8.2,14.42," Com uma ferramenta muito boa da OPNI, que é uma ferramenta gratuita, você não vai precisar nem deixar a vídeo a peir.",0.0,-0.5424494743347168,1.6622222222222223,0.01184123009443283
2,0,14.42,18.96," Vou ensinar vocês a usar em isso dentro do pai, que eu passo a passo a passar a total nessa.",0.0,-0.5424494743347168,1.6622222222222223,0.01184123009443283
3,1896,18.96,30.6," Vamos galera, se você gostou da ideia do vídeo, deixa aqui o seu like e se inscreve no canal para continuar acompanhando e aprendendo com a gente.",0.0,-0.3997501107149346,1.6945337620578778,0.6185531616210938
4,1896,30.6,33.7," E vou deixar a profissão para vocês aqui na descrição, dois links importantes.",0.0,-0.3997501107149346,1.6945337620578778,0.6185531616210938
5,1896,33.7,41.24," O primeiro deles é o link do gabarito que a gente vai fazer na aula de hoje, que se realmente é um código padrão para você fazer transcrições usando essa ferramenta da OPNI.",0.0,-0.3997501107149346,1.6945337620578778,0.6185531616210938
6,1896,41.24,45.96, Então o gabarito vai ser um código que você pode salvar na sua computadora e usar ele sempre que você precisa.,0.0,-0.3997501107149346,1.6945337620578778,0.6185531616210938
7,4596,45.96,52.14," E o segundo link que vou deixar também na descrição é o de um mini curso gratuito de pai, então vou disponibilizar para vocês.",0.0,-0.3127655371641501,1.8192090395480225,0.02886558696627617
8,4596,52.14,63.42," E você vai poder pegar esse mini curso, aprender com ele um projeto completo que a gente vai fazer no pai, você pode fazer isso depois da aula onde está aula, mas pega lá já se essa já pega ele para você agora e depois volta aqui para o vídeo.",0.0,-0.3127655371641501,1.8192090395480225,0.02886558696627617
9,4596,63.42,70.48," Bom galera, o seguinte, para a gente conseguir usar essa ferramenta da OPNI, a gente vai precisar estar numa biblioteca que é a OPNI whisper.",0.0,-0.3127655371641501,1.8192090395480225,0.02886558696627617
10,4596,70.48,75.72, E se o whisper é justamente a ferramenta e consegue fazer transcrição de áudio e ele serve exatamente para isso.,0.0,-0.3127655371641501,1.8192090395480225,0.02886558696627617
11,7572,75.72,81.32, Ele consegue fazer transcrição de áudio e sensualmente em qualquer língua ou pelo menos nas principais línguas.,0.0,-0.3352734883626302,1.8164556962025316,0.013221105560660362
12,7572,81.32,86.62," Algumas línguas ele consegue fazer transcrições muito boas com o espanho, o inglês, português e taliano.",0.0,-0.3352734883626302,1.8164556962025316,0.013221105560660362
13,7572,86.62,91.66," E algumas outras línguas um pouco menos usadas de gabas assim, as vezes a transcrição dele não é tão bom assim.",0.0,-0.3352734883626302,1.8164556962025316,0.013221105560660362
14,7572,91.66,96.66," Seu avevê que ela não é perfeita, como nenhuma transcrição é perfeita, mas ela realmente é muito bom.",0.0,-0.3352734883626302,1.8164556962025316,0.013221105560660362
15,7572,96.66,100.44, E tem um parâmetro que a gente consegue ficar justando nela para tornar ela melhor ainda.,0.0,-0.3352734883626302,1.8164556962025316,0.013221105560660362
16,7572,100.44,101.66, E eu vou mostrar para vocês.,0.0,-0.3352734883626302,1.8164556962025316,0.013221105560660362
17,10166,101.74,106.58," Vai ser um treidófrio, a gente vai escolher entre velocidades, de execução, ver sus qualidade da transcrição.",0.0,-0.6389258570925018,1.700906344410876,0.2508358657360077
18,10166,106.58,108.72, Então a gente vai entender como é que sua é funcionando.,0.0,-0.6389258570925018,1.700906344410876,0.2508358657360077
19,10166,108.72,111.7," Para a gente fazer isso, primeiro passa a gente instalar essa biblioteca.",0.0,-0.6389258570925018,1.700906344410876,0.2508358657360077
20,10166,111.7,114.0, Então você pode escolher de 2.4.7.,0.0,-0.6389258570925018,1.700906344410876,0.2508358657360077
21,10166,114.0,119.32," Abre lá, o seu terminal, esse vídeo de 2.4, o que eu vou abrir aqui meu prompt de comando, também, no comando prompt.",0.0,-0.6389258570925018,1.700906344410876,0.2508358657360077
22,10166,119.32,124.62," Chega aqui agora, eu vou digital o tip, install o PNI Trasso whisper.",0.0,-0.6389258570925018,1.700906344410876,0.2508358657360077
23,10166,124.62,126.94, E pinstal o PNI Trasso whisper.,0.0,-0.6389258570925018,1.700906344410876,0.2508358657360077
24,10166,126.94,129.1," Pode estar aqui, ele eu faz a instalação para você.",0.0,-0.6389258570925018,1.700906344410876,0.2508358657360077
25,12910,129.1,130.88," O meu caso ela já está instalado, tá?",0.0,-0.5180651346842448,1.7621951219512195,0.08880703151226044
26,12910,130.88,134.9," Então ele vai estar lavar as coisas, vai demorar um tip, mas ele vai instalar e vai funcionar no meu gol.",0.0,-0.5180651346842448,1.7621951219512195,0.08880703151226044
27,12910,134.9,139.45999999999998," Só que essa biblioteca para ela funcionar, ela precisa que você tem instalado no seu computador.",0.0,-0.5180651346842448,1.7621951219512195,0.08880703151226044
28,12910,139.45999999999998,143.74," E configurada na sua espalhada é a vigimente, o FFM Peg.",0.0,-0.5180651346842448,1.7621951219512195,0.08880703151226044
29,12910,143.74,149.04, E eu codechim o link disponível para vocês onde vocês podem pegar e seguir espaço a passo aqui para,0.0,-0.5180651346842448,1.7621951219512195,0.08880703151226044
30,12910,149.04,152.14, instalar o FFM Peg no computador de vocês.,0.0,-0.5180651346842448,1.7621951219512195,0.08880703151226044
31,12910,152.14,158.32," Então se você olhar, olha lá, essencialmente aqui eu duindo, está mais se pode se me enxergar no Google de estar FFM Peg.",0.0,-0.5180651346842448,1.7621951219512195,0.08880703151226044
32,15832,158.32,162.28," Então o Lode vai aparecer lá no Linux no Mac também, aqui está o passo a passo do Windows,",0.0,-0.48687392590092676,1.860724233983287,0.1037287563085556
33,15832,162.28,164.76," está aqui no Windows, acho que é um pouquinho mais chato do que nos outros.",0.0,-0.48687392590092676,1.860724233983287,0.1037287563085556
